agent_id,SRC,SYS,TOOL,SAFE,MEM,TEST,OBS,DOC,agent_spec_mean,Cost,Latency,Accuracy,Stability,Security,classic_mean
01-file-organizer,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,9.1,9.0,9.0,9.0,9.0,9.0,9.0
02-research-assistant,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,8.9
03-code-review-agent,9.5,9.0,9.5,9.0,9.0,9.0,9.0,9.0,9.1,9.0,9.0,9.5,9.0,9.5,9.2
04-migration-planner,9.5,9.0,9.0,9.5,9.0,9.0,9.0,9.0,9.1,9.0,8.5,9.0,9.0,9.5,9.0
05-db-admin-agent,9.5,9.5,9.0,9.5,9.0,9.0,9.0,9.0,9.2,9.0,9.0,9.0,9.0,9.5,9.1
06-learning-tutor,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
07-incident-responder,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,9.0,9.0,9.0,9.1
08-api-test-generator,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.5,9.0,9.0,9.0,8.9
09-docs-maintainer,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
10-support-triage,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,9.0,9.0,9.0,9.1
11-context-engineer,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
12-streaming-pipeline,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
13-cost-optimizer,9.5,9.5,9.0,9.0,9.0,9.0,9.0,9.0,9.1,9.5,9.0,9.0,9.0,9.0,9.1
14-self-improver,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
15-a2a-coordinator,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
16-parallel-executor,9.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.1,9.0,9.0,9.0,9.0,9.0,9.0
17-eval-agent,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
18-security-hardened,9.0,9.5,9.0,9.5,9.0,9.0,9.0,9.0,9.1,9.0,9.0,9.0,9.0,9.5,9.1
19-workflow-orchestrator,9.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.1,9.0,9.0,9.0,9.0,9.0,9.0
20-knowledge-graph,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
